 Title:, Report generated using easywire version: 2020.1.0.7085

 Operator:, Line Supervisor
 S/N:, 03AA0B0071
 Final Test Result:, Passed
 Run Number:, 631
 Cable Number:, 1
 Station ID:, CIRRIS 1
 Test Date:, 11/4/2025
 Test Time:, 9:47:06 AM
 Retry Count:, 0
 Test Name:, 11989-0312-Resistance Inverted Rev A

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Expected 2, Measured 2, Instruction Detail

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, LUA COMPONENT, , , 1.000, , (Prompt 1) Scan Barcode for Process#-Description: 17b
 56, 4WIRE, A31-DIB (F53), B31-DIB (F53), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 57, 4WIRE, A29-DIB (F54), B29-DIB (F54), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 58, 4WIRE, A26-DIB (F55), B26-DIB (F55), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 59, 4WIRE, A24-DIB (F56), B24-DIB (F56), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 60, 4WIRE, A20-DIB (F57), B20-DIB (F57), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 61, 4WIRE, A18-DIB (F58), B18-DIB (F58), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 62, 4WIRE, A15-DIB (F59), B15-DIB (F59), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 63, 4WIRE, A13-DIB (F60), B13-DIB (F60), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 64, 4WIRE, A9-DIB (F61), B9-DIB (F61), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 65, 4WIRE, A7-DIB (F62), B7-DIB (F62), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 66, 4WIRE, A4-DIB (F63), B4-DIB (F63), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 67, 4WIRE, A2-DIB (F64), B2-DIB (F64), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 68, 4WIRE, F2-DIB (R1), G2-DIB (R1), 93 mOhm, 500 mOhm, Measured 93 mOhm 
 69, 4WIRE, F4-DIB (R2), G4-DIB (R2), 103 mOhm, 500 mOhm, Measured 103 mOhm 
 70, 4WIRE, F7-DIB (R3), G7-DIB (R3), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 71, 4WIRE, F9-DIB (R4), G9-DIB (R4), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 72, 4WIRE, F13-DIB (R5), G13-DIB (R5), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 73, 4WIRE, F15-DIB (R6), G15-DIB (R6), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 74, 4WIRE, F18-DIB (R7), G18-DIB (R7), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 75, 4WIRE, F20-DIB (R8), G20-DIB (R8), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 76, 4WIRE, F24-DIB (R9), G24-DIB (R9), 72 mOhm, 500 mOhm, Measured 72 mOhm 
 77, 4WIRE, F26-DIB (R10), G26-DIB (R10), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 78, 4WIRE, F29-DIB (R11), G29-DIB (R11), 72 mOhm, 500 mOhm, Measured 72 mOhm 
 79, 4WIRE, F31-DIB (R12), G31-DIB (R12), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 80, 4WIRE, F35-DIB (R13), G35-DIB (R13), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 81, 4WIRE, F37-DIB (R14), G37-DIB (R14), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 82, 4WIRE, F40-DIB (R15), G40-DIB (R15), 95 mOhm, 500 mOhm, Measured 95 mOhm 
 83, 4WIRE, F42-DIB (R16), G42-DIB (R16), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 84, 4WIRE, F47-DIB (R17), G47-DIB (R17), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 85, 4WIRE, F49-DIB (R18), G49-DIB (R18), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 86, 4WIRE, F52-DIB (R19), G52-DIB (R19), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 87, 4WIRE, F54-DIB (R20), G54-DIB (R20), 72 mOhm, 500 mOhm, Measured 72 mOhm 
 88, 4WIRE, F58-DIB (R21), G58-DIB (R21), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 89, 4WIRE, F60-DIB (R22), G60-DIB (R22), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 90, 4WIRE, F63-DIB (R23), G63-DIB (R23), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 91, 4WIRE, F65-DIB (R24), G65-DIB (R24), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 92, 4WIRE, F69-DIB (R25), G69-DIB (R25), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 93, 4WIRE, F71-DIB (R26), G71-DIB (R26), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 94, 4WIRE, F74-DIB (R27), G74-DIB (R27), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 95, 4WIRE, F76-DIB (R28), G76-DIB (R28), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 96, 4WIRE, F80-DIB (R29), G80-DIB (R29), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 97, 4WIRE, F82-DIB (R30), G82-DIB (R30), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 98, 4WIRE, F85-DIB (R31), G85-DIB (R31), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 99, 4WIRE, F87-DIB (R32), G87-DIB (R32), 97 mOhm, 500 mOhm, Measured 97 mOhm 
 100, 4WIRE, A86-DIB (R33), B86-DIB (R33), 92 mOhm, 500 mOhm, Measured 92 mOhm 
 101, 4WIRE, A84-DIB (R34), B84-DIB (R34), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 102, 4WIRE, A81-DIB (R35), B81-DIB (R35), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 103, 4WIRE, A79-DIB (R36), B79-DIB (R36), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 104, 4WIRE, A75-DIB (R37), B75-DIB (R37), 71 mOhm, 500 mOhm, Measured 71 mOhm 
 105, 4WIRE, A73-DIB (R38), B73-DIB (R38), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 106, 4WIRE, A70-DIB (R39), B70-DIB (R39), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 107, 4WIRE, A68-DIB (R40), B68-DIB (R40), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 108, 4WIRE, A64-DIB (R41), B64-DIB (R41), 94 mOhm, 500 mOhm, Measured 94 mOhm 
 109, 4WIRE, A62-DIB (R42), B62-DIB (R42), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 110, 4WIRE, A59-DIB (R43), B59-DIB (R43), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 111, 4WIRE, A57-DIB (R44), B57-DIB (R44), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 112, 4WIRE, A53-DIB (R45), B53-DIB (R45), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 113, 4WIRE, A51-DIB (R46), B51-DIB (R46), 91 mOhm, 500 mOhm, Measured 91 mOhm 
 114, 4WIRE, A48-DIB (R47), B48-DIB (R47), 97 mOhm, 500 mOhm, Measured 97 mOhm 
 115, 4WIRE, A46-DIB (R48), B46-DIB (R48), 91 mOhm, 500 mOhm, Measured 91 mOhm 
 116, 4WIRE, A41-DIB (R49), B41-DIB (R49), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 117, 4WIRE, A39-DIB (R50), B39-DIB (R50), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 118, 4WIRE, A36-DIB (R51), B36-DIB (R51), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 119, 4WIRE, A34-DIB (R52), B34-DIB (R52), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 120, 4WIRE, A30-DIB (R53), B30-DIB (R53), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 121, 4WIRE, A28-DIB (R54), B28-DIB (R54), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 122, 4WIRE, A25-DIB (R55), B25-DIB (R55), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 123, 4WIRE, A23-DIB (R56), B23-DIB (R56), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 124, 4WIRE, A19-DIB (R57), B19-DIB (R57), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 125, 4WIRE, A17-DIB (R58), B17-DIB (R58), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 126, 4WIRE, A14-DIB (R59), B14-DIB (R59), 97 mOhm, 500 mOhm, Measured 97 mOhm 
 127, 4WIRE, A12-DIB (R60), B12-DIB (R60), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 128, 4WIRE, A8-DIB (R61), B8-DIB (R61), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 129, 4WIRE, A6-DIB (R62), B6-DIB (R62), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 130, 4WIRE, A3-DIB (R63), B3-DIB (R63), 96 mOhm, 500 mOhm, Measured 96 mOhm 
 131, 4WIRE, A1-DIB (R64), B1-DIB (R64), 97 mOhm, 500 mOhm, Measured 97 mOhm 
 132, 4WIRE, A1-P1 (F1), B1-P1 (F1), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 133, 4WIRE, A1-P1 (F1), C1-P1 (F1), 94 mOhm, 500 mOhm, Measured 94 mOhm 
 134, 4WIRE, A1-P1 (F1), D1-P1 (F1), 95 mOhm, 500 mOhm, Measured 95 mOhm 
 135, 4WIRE, A3-P1 (F2), B3-P1 (F2), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 136, 4WIRE, A3-P1 (F2), C3-P1 (F2), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 137, 4WIRE, A3-P1 (F2), D3-P1 (F2), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 138, 4WIRE, A6-P1 (F3), B6-P1 (F3), 100 mOhm, 500 mOhm, Measured 100 mOhm 
 139, 4WIRE, A6-P1 (F3), C6-P1 (F3), 101 mOhm, 500 mOhm, Measured 101 mOhm 
 140, 4WIRE, A6-P1 (F3), D6-P1 (F3), 100 mOhm, 500 mOhm, Measured 100 mOhm 
 141, 4WIRE, A8-P1 (F4), B8-P1 (F4), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 142, 4WIRE, A8-P1 (F4), C8-P1 (F4), 98 mOhm, 500 mOhm, Measured 98 mOhm 
 143, 4WIRE, A8-P1 (F4), D8-P1 (F4), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 144, 4WIRE, A12-P1 (F5), B12-P1 (F5), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 145, 4WIRE, A12-P1 (F5), C12-P1 (F5), 92 mOhm, 500 mOhm, Measured 92 mOhm 
 146, 4WIRE, A12-P1 (F5), D12-P1 (F5), 103 mOhm, 500 mOhm, Measured 103 mOhm 
 147, 4WIRE, A14-P1 (F6), B14-P1 (F6), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 148, 4WIRE, A14-P1 (F6), C14-P1 (F6), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 149, 4WIRE, A14-P1 (F6), D14-P1 (F6), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 150, 4WIRE, A17-P1 (F7), B17-P1 (F7), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 151, 4WIRE, A17-P1 (F7), C17-P1 (F7), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 152, 4WIRE, A17-P1 (F7), D17-P1 (F7), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 153, 4WIRE, A19-P1 (F8), B19-P1 (F8), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 154, 4WIRE, A19-P1 (F8), C19-P1 (F8), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 155, 4WIRE, A19-P1 (F8), D19-P1 (F8), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 156, 4WIRE, A23-P1 (F9), B23-P1 (F9), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 157, 4WIRE, A23-P1 (F9), C23-P1 (F9), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 158, 4WIRE, A23-P1 (F9), D23-P1 (F9), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 159, 4WIRE, A25-P1 (F10), B25-P1 (F10), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 160, 4WIRE, A25-P1 (F10), C25-P1 (F10), 93 mOhm, 500 mOhm, Measured 93 mOhm 
 161, 4WIRE, A25-P1 (F10), D25-P1 (F10), 99 mOhm, 500 mOhm, Measured 99 mOhm 
 162, 4WIRE, A28-P1 (F11), B28-P1 (F11), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 163, 4WIRE, A28-P1 (F11), C28-P1 (F11), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 164, 4WIRE, A28-P1 (F11), D28-P1 (F11), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 165, 4WIRE, A30-P1 (F12), B30-P1 (F12), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 166, 4WIRE, A30-P1 (F12), C30-P1 (F12), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 167, 4WIRE, A30-P1 (F12), D30-P1 (F12), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 168, 4WIRE, A34-P1 (F13), B34-P1 (F13), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 169, 4WIRE, A34-P1 (F13), C34-P1 (F13), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 170, 4WIRE, A34-P1 (F13), D34-P1 (F13), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 171, 4WIRE, A36-P1 (F14), B36-P1 (F14), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 172, 4WIRE, A36-P1 (F14), C36-P1 (F14), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 173, 4WIRE, A36-P1 (F14), D36-P1 (F14), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 174, 4WIRE, A39-P1 (F15), B39-P1 (F15), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 175, 4WIRE, A39-P1 (F15), C39-P1 (F15), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 176, 4WIRE, A39-P1 (F15), D39-P1 (F15), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 177, 4WIRE, A41-P1 (F16), B41-P1 (F16), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 178, 4WIRE, A41-P1 (F16), C41-P1 (F16), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 179, 4WIRE, A41-P1 (F16), D41-P1 (F16), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 180, 4WIRE, A46-P1 (F17), B46-P1 (F17), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 181, 4WIRE, A46-P1 (F17), C46-P1 (F17), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 182, 4WIRE, A46-P1 (F17), D46-P1 (F17), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 183, 4WIRE, A48-P1 (F18), B48-P1 (F18), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 184, 4WIRE, A48-P1 (F18), C48-P1 (F18), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 185, 4WIRE, A48-P1 (F18), D48-P1 (F18), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 186, 4WIRE, A51-P1 (F19), B51-P1 (F19), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 187, 4WIRE, A51-P1 (F19), C51-P1 (F19), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 188, 4WIRE, A51-P1 (F19), D51-P1 (F19), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 189, 4WIRE, A53-P1 (F20), B53-P1 (F20), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 190, 4WIRE, A53-P1 (F20), C53-P1 (F20), 97 mOhm, 500 mOhm, Measured 97 mOhm 
 191, 4WIRE, A53-P1 (F20), D53-P1 (F20), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 192, 4WIRE, A57-P1 (F21), B57-P1 (F21), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 193, 4WIRE, A57-P1 (F21), C57-P1 (F21), 97 mOhm, 500 mOhm, Measured 97 mOhm 
 194, 4WIRE, A57-P1 (F21), D57-P1 (F21), 94 mOhm, 500 mOhm, Measured 94 mOhm 
 195, 4WIRE, A59-P1 (F22), B59-P1 (F22), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 196, 4WIRE, A59-P1 (F22), C59-P1 (F22), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 197, 4WIRE, A59-P1 (F22), D59-P1 (F22), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 198, 4WIRE, A62-P1 (F23), B62-P1 (F23), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 199, 4WIRE, A62-P1 (F23), C62-P1 (F23), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 200, 4WIRE, A62-P1 (F23), D62-P1 (F23), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 201, 4WIRE, A64-P1 (F24), B64-P1 (F24), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 202, 4WIRE, A64-P1 (F24), C64-P1 (F24), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 203, 4WIRE, A64-P1 (F24), D64-P1 (F24), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 204, 4WIRE, A68-P1 (F25), B68-P1 (F25), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 205, 4WIRE, A68-P1 (F25), C68-P1 (F25), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 206, 4WIRE, A68-P1 (F25), D68-P1 (F25), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 207, 4WIRE, A70-P1 (F26), B70-P1 (F26), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 208, 4WIRE, A70-P1 (F26), C70-P1 (F26), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 209, 4WIRE, A70-P1 (F26), D70-P1 (F26), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 210, 4WIRE, A73-P1 (F27), B73-P1 (F27), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 211, 4WIRE, A73-P1 (F27), C73-P1 (F27), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 212, 4WIRE, A73-P1 (F27), D73-P1 (F27), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 213, 4WIRE, A75-P1 (F28), B75-P1 (F28), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 214, 4WIRE, A75-P1 (F28), C75-P1 (F28), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 215, 4WIRE, A75-P1 (F28), D75-P1 (F28), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 216, 4WIRE, A79-P1 (F29), B79-P1 (F29), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 217, 4WIRE, A79-P1 (F29), C79-P1 (F29), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 218, 4WIRE, A79-P1 (F29), D79-P1 (F29), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 219, 4WIRE, A81-P1 (F30), B81-P1 (F30), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 220, 4WIRE, A81-P1 (F30), C81-P1 (F30), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 221, 4WIRE, A81-P1 (F30), D81-P1 (F30), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 222, 4WIRE, A84-P1 (F31), B84-P1 (F31), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 223, 4WIRE, A84-P1 (F31), C84-P1 (F31), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 224, 4WIRE, A84-P1 (F31), D84-P1 (F31), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 225, 4WIRE, A86-P1 (F32), B86-P1 (F32), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 226, 4WIRE, A86-P1 (F32), C86-P1 (F32), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 227, 4WIRE, A86-P1 (F32), D86-P1 (F32), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 228, 4WIRE, A1-P2 (F33), B1-P2 (F33), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 229, 4WIRE, A46-P2 (F49), B46-P2 (F49), 96 mOhm, 500 mOhm, Measured 96 mOhm 
 230, 4WIRE, A87-P2 (R64), B87-P2 (R64), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 231, 4WIRE, A1-P2 (F33), C1-P2 (F33), 97 mOhm, 500 mOhm, Measured 97 mOhm 
